filename,Fire Hydrants
45-394823_-75-62419684_heading270_jpg.rf.01200bb848e76738a97cea9d5bd03e8c.jpg,0
53-4733_-113-44139_heading180_jpg.rf.00a4904dd28b62c5f830ed0d253341bb.jpg,0
49_jpg.rf.00d3bdf822d633cc6d6fe5ed2c248a59.jpg,1
download_jpeg_jpg.rf.00666bac2a7d67fe8f26db4a7ffd03f3.jpg,1
45-42126683_-75-64919699_heading270_jpg.rf.02dbaca7ad81e7c805f4e1d5a7f3e7b7.jpg,1
extralarge_jpg.rf.00c6ef2aecd21e96b1c0e08c662f1beb.jpg,1
53-4882_-113-4592_heading90_jpg.rf.00f254f1be2fad81872f3f683a0610d1.jpg,0
image12_jpg.rf.00c60cf80703922eb5fbd591e31bd28f.jpg,1
45-39792893_-75-71132129_heading270_jpg.rf.02ebc01465f3e080fc23bf466c5f724c.jpg,1
45-42964519_-75-69715893_heading270_jpg.rf.03433245f1160982f6fe16fed0c239c6.jpg,1
53-503_-113-5108_heading90_jpg.rf.014ba9def86fad82198aba84d4e49cb3.jpg,0
45-31700739_-75-59333437_heading180_jpg.rf.035827c728ea814dd9d61c8b46d94857.jpg,0
53-503_-113-50951_heading0_jpg.rf.039f9265ecbda6a873c50b19bd571ce6.jpg,1
45-3244536_-75-61215907_heading90_jpg.rf.037b19ce7fa31cacafab7628288085da.jpg,0
53-56588_-113-47905_heading0_jpg.rf.015dab07c6ff4c3f2d6031b95a242c8b.jpg,1
53-56434_-113-48636_heading180_jpg.rf.03a0bbbdc5fb35b49ae87a1ab492f07c.jpg,0
53-485_-113-52414_heading270_jpg.rf.03d501c472ab9684e329a6c0e83cc4c3.jpg,0
53-453_-113-38627_heading180_jpg.rf.03cd7b28233939e854340ab46ee2af2d.jpg,0
45-42932453_-75-56563941_heading0_jpg.rf.02ccb99bccded7ef6de51c2c8acf9c31.jpg,1
45-41438178_-75-68124494_heading180_jpg.rf.02746e50d3e5590da89ac722b38be094.jpg,1
85_PNG.rf.03650ad645e6b3f02777c3abcc284f84.jpg,1
53-4514_-113-43359_heading270_jpg.rf.0415a7333efa6b59fd6718176de1c976.jpg,0
405320247_9d6b7a89b5_z_jpg.rf.0251963ab28488f40632923c54576262.jpg,1
45-394823_-75-62419684_heading0_jpg.rf.03eed67e6ef10e8b959c2242750e64dd.jpg,0
53-55069_-113-44309_heading90_jpg.rf.03fc6e88c63565dd105e41b1078fb46a.jpg,0
53-4539_-113-67076_heading180_jpg.rf.034d729fe8c6c09283ed6fc029a8766c.jpg,0
53-56661_-113-52101_heading270_jpg.rf.0401bca3388ae6f3d3db1883211156af.jpg,0
45-40005049_-75-71184781_heading90_jpg.rf.0466b4b583ff63c1e7afea65e951b83a.jpg,0
images-35-_jpeg_jpg.rf.04af460bc31f7941a7003b52f608c636.jpg,1
53-539_-113-64785_heading90_jpg.rf.04e22c8cc38f0381a428adbca483ebef.jpg,0
85_jpg.rf.04e0bba2d43787096af83c5f6e44fd86.jpg,1
93_PNG.rf.02c7caf75b370a22a1af613bd7120206.jpg,1
45-40595029_-75-72602038_heading0_jpg.rf.047d64c4bd2b15a484bdc6fee2778778.jpg,0
45-39550703_-75-71789694_heading0_jpg.rf.057ca9f1ad00f4421865da70d2e2bd00.jpg,0
53-4782_-113-56926_heading180_jpg.rf.051f2f2848cf3f4127774d50189ce162.jpg,0
45-3244536_-75-61215907_heading180_jpg.rf.062b00da4ea61ee134ba898e4885a307.jpg,0
image17_jpg.rf.05fc9d6aab459e7abb9965a6612f870d.jpg,1
53-5526_-113-5384_heading0_jpg.rf.053fd8715ff52beac233a6eaa51a62be.jpg,1
53-4208_-113-64561_heading180_jpg.rf.014aa1c0849876ba9b1d58a12c725d5f.jpg,0
53-4228_-113-47481_heading90_jpg.rf.05b6ceea9a6966e10328ceabac98ac99.jpg,0
53-4598_-113-49751_heading180_jpg.rf.05f55c2860c9eeb7eeda6caa687ca4af.jpg,1
53-56896_-113-46473_heading0_jpg.rf.05720bbe326be453151b82a325360ffe.jpg,0
14_jpg.rf.06346a1eb30fa04f79dbdb92fa204efc.jpg,1
45-41240291_-75-71357537_heading90_jpg.rf.065a3f7012ab126eb80bb4cc134cedee.jpg,0
53-4698_-113-37667_heading270_jpg.rf.06d3ea139a24ff50ded855486dd75e53.jpg,0
53-4088_-113-51174_heading90_jpg.rf.028cf2f8a7ce636fcc84d955cd4aac35.jpg,0
45-439155_-75-66749018_heading270_jpg.rf.00b31af99129045bc3d4b9f39cafd3cb.jpg,0
53-4987_-113-56957_heading0_jpg.rf.065887b1c708b89b5df88e5e5ce51965.jpg,0
45-35437261_-75-66116047_heading180_jpg.rf.01f2251a0c0ff9203d4ed6a0ac1d875b.jpg,0
53-4183_-113-44057_heading270_jpg.rf.06da2bf23cf955cec0a542784c0fbaeb.jpg,1
45-438346_-75-51238569_heading0_jpg.rf.075e6f83be8789e2dc2a47f97b590c86.jpg,0
53-4832_-113-48652_heading270_jpg.rf.01b27f03aa7b363f588f03088e4a7bb8.jpg,0
45-438346_-75-51238569_heading90_jpg.rf.071e1fd285bb84a7e8acd768b7ea28a3.jpg,1
53-4568_-113-3957_heading0_jpg.rf.02b7c2a898f4883f15c422e9d9301fdf.jpg,0
53-40971_-113-53589_heading90_jpg.rf.06d4f3bd3282ab079891db7f7802481b.jpg,0
45-39358006_-75-71718784_heading90_jpg.rf.0207caf8a8c6cf806752b52c33b2b7cc.jpg,0
45-40987784_-75-69945484_heading270_jpg.rf.0833d8cc7ded998800927e09cfeb0fc4.jpg,0
2837573381_9f092fefd8_z_jpg.rf.081c41dbfce9c29d3f3630aea3b1b38c.jpg,1
45-42929037_-75-57043721_heading180_jpg.rf.07b591a995cf4eccde2430bc415dadeb.jpg,1
45-31176598_-75-59904837_heading270_jpg.rf.07ace257028ac474995a536576b8b622.jpg,0
53-4631_-113-41568_heading0_jpg.rf.0721ba426841121b81599bab66cab4cf.jpg,0
40_jpg.rf.07f79f7fdd251f16ab8973a375b78e76.jpg,1
53-4793_-113-45379_heading270_jpg.rf.0731ef2f22ba4d52f30446927305e978.jpg,0
53-4832_-113-48652_heading0_jpg.rf.0754fdec6a18b605bcd0bbfae9374da7.jpg,1
53-4666_-113-6789_heading270_jpg.rf.07894849f9b2bea78eadf9134970d534.jpg,1
45-31700739_-75-59333437_heading90_jpg.rf.07ead594d6d8bede4b4f78a58c609c1f.jpg,0
53-56433_-113-47112_heading270_jpg.rf.081e0b40a6d9af7948654536c11cd4bb.jpg,1
image9_jpg.rf.082ac7fc6fef8d36229cc4245f102849.jpg,1
53-54552_-113-44444_heading90_jpg.rf.0189e7d636023460057426e5d9831668.jpg,1
53-4406_-113-44669_heading180_jpg.rf.0164132bc74a257ce6af78ee1084bc56.jpg,0
53-4733_-113-44139_heading0_jpg.rf.08285a1fe8129444638c9257a420aaa5.jpg,0
45-41328635_-75-68223543_heading180_jpg.rf.087f1b34cde6e9973ba9cf89189bc8a2.jpg,1
45-3987748_-75-71609886_heading0_jpg.rf.087dd4aa9ef1a353314ff123be761ea2.jpg,1
53-4698_-113-37667_heading180_jpg.rf.08565e4913edbfdee738ae76e89f2c09.jpg,1
53-4475_-113-4642_heading180_jpg.rf.0013633cfecb44727448b36e023da544.jpg,1
53-4602_-113-45371_heading270_jpg.rf.0889c4c81bbd860ce6670e4d9e3d6836.jpg,0
53-56072_-113-4639_heading180_jpg.rf.089147d5247eb0344ec2a9abc17e8fce.jpg,0
21_jpg.rf.0927670797c13b5a16a802c640430bb5.jpg,1
45-31362976_-75-59913746_heading0_jpg.rf.0962b9ce531d5b60e83921e774576b7e.jpg,0
45-25035039_-75-71441307_heading180_jpg.rf.08d70dda75152e8975fe3a7cc3a9351d.jpg,1
45-2887847_-75-54862056_heading90_jpg.rf.09026899d63b490e7020519c22930b7d.jpg,0
